JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
BMC Musculoskelet Disord,Biomedical Central Nephrology,Springer,Not certain,Not found,1471-2369,2 year-2.088 5 year-2.461
BMC Nephrol,Biomedical Central Neurology,Springer,Byrne,Not found, 1471-2377,2 year-2.233 5 year-2.570
BMC Neurol,Biomedical Central Neuroscience,Springer,Byrne,Not found,"1471-2202
",2 year-2.620 5 year-2.712
BMC Neurosci,BMC Nursing,BioMed Central,Tovah Honor Aronin,,1472-6955,1.69
BMC Nurs,BMC Oral Health,BioMed Central,Anne Menard,,1472-6831,2.393
BMC Oral Health,BMC Pediatrics,BioMed Central,Darren Byrne,,1471-2431,2.765
BMC Pediatr,BMC Physiology,BioMed Central,Kathy Myburgh,,1472-6793,2.87
BMC Physiol,BMC Plant Biology,BioMed Central,Akila Sridhar,,1471-2229,4.311
BMC Plant Biol,BMC Pregnancy and Childbirth,BioMed Central,Tovah Honor Aronin,,1471-2393,3.512
BMC Pregnancy Childbirth,BMC Proceedings,BioMed Central,Anne Menard,,1753-6561,0.67
BMC Proc,BMC Psychiatry,BioMed Central,Darren Byrne,,1471-244X,3.302
BMC Psychiatry,BMC Public Health,BioMed Central,Natalie Pafitis,,1471-2458,3.275
BMC Public Health,BMC Pulmonary Medicine,BioMed Central,Tamara Hughes,,1471-2466,2.596
BMC Pulm Med,BMC Research Notes,BioMed Central,Tamara Hughes,,1756-0500,1.34
BMC Res Notes,BMC Structural Biology,BioMed Central,Alison Cuff,,1472-6807,1.609
BMC Struct Biol,BMC Systems Biology,BioMed Central,Alison Cuff,,1752-0509,2.505
BMC Syst Biol,BMC Veterinary Research,BioMed Central,Hayley Henderson,,1746-6148,2.12
BMC Vet Res,British Medical Journal,BMJ,Fiona Godlee,"	0959-8138",1756-1833,27.604
BMJ,British Medical Journal (Clinical Research Edition),BMJ,Fiona Godlee,0959-8138,1756-1833,0.48
BMJ (Clinical research ed.),BMJ Global Health,BMJ,Dr Seye Abimbola,,2059-7908,
BMJ Glob Health,BMJ Open,BMJ,Adrian Aldcroft,,2044-6055,2.376
BMJ Open,BMJ Open Quality,BMJ,Helen Crisp,,2399-6641,2.413
BMJ Open Qual,BMJ Open Respiratory Research,BMJ,Stephen Chapman,,2052-4439,1.302
BMJ Open Respir Res,Body & Society,SAGE Publications,"	Mike Featherstone",1357-034X,1460-3632,1.595
Body Soc,Bibliomed. Boletín bibliográfico de la Biblioteca Médica Nacional,,,,,
Boletín bibliográfico de la Biblioteca Médica Nacional,Bone & Joint Research,The British Editorial Society of Bone & Joint Surgery,Hamish Simpson,,2046-3758,3.652
Bone Joint Res,Bone Marrow Research,,,,,
Bone Marrow Transplant,Bone Research,Springer,Xue-dong Zhou,,2095-6231 ,4.455
Bone Res,British Journal of Cancer  ,Nature Research ,Adrian L Harris,0007-0920,1532-1827 ,5.922
Br J Cancer,The British Journal of Nursing,Mark Allen Publishing Ltd.,Ian Peate OBE,0966-0461,,0.46
Br J Nurs,British Journal of Ophthalmology,BMJ,"Keith Barton, James Chodosh and Jost Jonasand",0007-1161,1468-2079,3.806
Br J Ophthalmol,British Journal of Sports Medicine,BMJ,Karim Khan,          0306-3674,1473-0480,11.645
Br J Sports Med,Brain: A Journal of Neurology,Oxford University Press,Dimitri Kullmann,"	0006-8950",1460-2156,11.814
Brain,Brain and Behavior,Wiley-Blackwell,Maryann Martone,,2162-3279,2.219
Brain Behav,Brain Pathology,John Wiley & Sons,Markus Glatzel,"	1015-6305",1750-3639,6.624
Brain Pathol,Behavioral and Brain Sciences,Cambridge University Press,"Paul Bloom, Barbara L. Finlay","	0140-525X",1469-1825,15.071
Brain Sci,Brazilian Journal of Medical and Biological Research,Associação Brasileira de Divulgação Científica,"Eduardo Magalhães Rego, Luisa Lina Villa, João Pereira Leite, Roberto César Pereira Lima Júnior, Itamar de Souza Santos, Claudia Kimie Suemoto",0100-879X,0100-879X,1.85
Braz J Med Biol Res,Brazilian Journal of Microbiology,Springer,Marina Baquerizo,1517-8382,1678-4405,2.857
Braz J Microbiol,Breast Cancer Research,BioMed Central, Lewis Chodosh,"	1465-5411",1465-542X,6.142
Breast Cancer Res,Breathe,European Respiratory Society,Claudia Dobler,1810-6838,,0.7
Breathe (Sheff),Briefings in Bioinformatics,Oxford University Press,Martin Bishop,"	1467-5463",1477-4054,9.101
Brief Bioinform,Briefings in Functional Genomics ,Oxford University Press, Paul Hurd,"	2041-2649",2041-2657,3.133
Brief Funct Genomics,British Journal of Anaesthesia,Elsevier,Hugh C. Hemmings,"	0007-0912",1471-6771,6.199
British journal of anaesthesia,British Journal of Dermatology,Wiley-Blackwell,John Ingram,"	0007-0963",1365-2133,6.714
British Journal of Dermatology,Building Simulation: An International Journal,Springer,Xudong Yang,1996-3599,1996-8744,2.211
Building Simulation,Bulletin of Mathematical Biology,Springer,"Alan Hastings, Reinhard Laubenbacher",1522-9602,1522-9602,1.657
Bull Math Biol,Bulletin of the World Health Organization,World Health Organization,Laragh Gollogly,"	0042-9686",1564-0604,6.818
Bull World Health Organ,Bulletin of the World Health Organization,"World Health Organization
",Laragh Gollogly,        0042-9686,1564-0604,6.818
Bulletin of the World Health Organization,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,Springer,Sophia Seidel,1436-9990,1437-1588,1.508
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,Burns & Trauma,Oxford University Press,Jun Wu,,2321-3876,2.493
Burns Trauma,C&EN Global Enterprise,,,,,
C&EN Global Enterprise,The Canadian Journal of Anesthesia,Springer,Hilary Grocott,0832-610X,1496-8975,2.96
Can J Anaesth,Canadian Journal of Infectious Diseases and Medical Microbiology,Hindawi,John Conly,"	1712-9532",1918-1493,0.991
Can J Infect Dis Med Microbiol,Canadian Journal of Respiratory Therapy,Canadian Science Publishing,Justin Sorge,1205-9838,1205-9838,0.36
Can J Respir Ther,Canadian Journal of Respiratory Therapy,Canadian Science Publishing,Justin Sorge,1205-9838,1205-9838,0.36
Can Respir J,Canadian Association of Radiologists Journal,Elsevier,Michael N. Patlas,0846-5371,1488-2361,1.009
Canadian Association of Radiologists Journal,Canadian Journal of Anesthesia ,Springer,Hilary Grocott,0832-610X,1496-8975,3.374
Canadian Journal of Anesthesia/Journal canadien d'anesthésie,Cancer Cell International,BioMed Central,Domenico Coppola,1475-2867,1475-2867,3.63
Cancer Cell Int,"Cancer Immunology, Immunotherapy",Springer,Haidong Dong,0340-7004,1432-0851,4.9
Cancer Immunol Immunother,Cancer Informatics,Sage,J.T. Efird,1176-9351,1176-9351,1.18
Cancer Inform,Cancer Management and Research,Dove Medical Press,Kenan Onel,1179-1322,1179-1322,3.702
Cancer Manag Res,Cancer Medicine,Wiley,Qingyi Wei,,2045-7634,3.362
Cancer Med,Cancer Research and Treatment Journal,,,1598-2998,1598-2998,3.363
Cancer Res Treat,Cancer Science Journal,Wiley,Kohei Miyazono,1347-9032,1349-7006,4.751
Cancer Sci,Cancers (Journal),Wiley-Blackwell,Fadlo R. Khuri,0008-543X,1097-0142,6.072
Cancers (Basel),Cardiology Research,Elmer Press,John Somberg,1923-2829,1923-2837,
Cardiol Res,Cardiovascular Diabetology ,BioMed Central,"Enrique Fisman, Alexander Tenenbaum",1475-2840,1475-2840,5.948 
Cardiovasc Diabetol,Cardiovascular & Hematological Agents in Medicinal Chemistry,Bentham Science,Debabrata Mukherjee,1871-5257,1875-6182,0.63
Cardiovasc Hematol Agents Med Chem,Cardiovascular and Interventional Radiology,Springer,Klaus Hausegger,0174-1551,1432-086X,1.928
Cardiovascular and interventional radiology,Case Reports in Critical Care,Hindawi,,2090-6420 ,2090-6439,
Case Rep Crit Care,Case Reports in Infectious Diseases,Hindawi,,2090-6625,2090-6633,
Case Rep Infect Dis,Case Reports in Medicine ,Hindawi,,1687-9627,1687-9635 ,
Case Rep Med,Case Reports in Nephrology and Dialysis,Karger,Ivan Rychlik,,2296-9705,0.53
Case Rep Nephrol Dial,Case Reports in Neurological Medicine ,Hindawi,,2090-6668,2090-6676,
Case Rep Neurol Med,Case Reports in Oncological Medicine,Hindawi,,2090-6706,2090-6714,
Case Rep Oncol Med,Case Reports in Pediatrics,Hindawi,,2090-6803,2090-6811,
Case Rep Pediatr,Case Reports in Pulmonology,Hindawi,,2090-6846 ,2090-6854,
Case Rep Pulmonol,Case Reports in Rheumatology,Hindawi,,2090-6889 ,2090-6897,
Case Rep Rheumatol,Case Reports in Transplantation,Hindawi,,2090-6943,2090-6951,
Case Rep Transplant,Case Reports in Veterinary Medicine,Hindawi,,2090-7001,2090-701X,
Case Rep Vet Med,Cases Journal ,Biomed Central/ Springer,Richard Smith,1757-1626,1757-1626,0.81
Cases J,CBE: Life Sciences Education,,,1931-7913,1931-7913,
CBE Life Sci Educ,Cell (Journal),Cell Press,John Pham,0092-8674,1097-4172,36.216
Cell,Cell Biochemistry and Biophysics,Springer,Lawrence J. Berliner,1085-9195,1559-0283,1.455
Cell Biochem Biophys,Cell Biochemistry and Function,Wiley-Blackwell,Nigel Loveridge,0263-6484,1099-0844,1.854
Cell Biochem Funct,Cell Biology International,Portland Press,D.N. Wheatley,1065-6995,1095-8355,1.747
Cell Biol Int,Cell and Bioscience,Springer,Dr. Yun-Fai Chris Lau,2045-3701,2045-3701,
Cell Biosci,Cell Chemical Biology,Cell Press,,2451-9456,2451-9448,6.762
Cell Chem Biol,Cell Communication and Signaling ,BioMed Central ,Raymond Birge,1478-811X,1478-811X,5.324
Cell Commun Signal,Cell Cycle,Taylor & Francis,Mikhail Blagosklonny,1538-4101,1551-4005,3.304 
Cell Cycle,Cell Discovery Journal ,Nature Publishing Group,Gang Pei,20565968,20565968,4.483
Cell Death Dis,Cell Discovery Journal ,Nature Publishing Group,Gang Pei,20565968,20565968,4.483
Cell Death Discov,Cell Discovery Journal ,Nature Publishing Group,Gang Pei,20565968,20565968,4.483
Cell Discov,Cell Discovery Journal ,Nature Publishing Group,Gang Pei,20565968,20565968,4.483
Cell Discovery,Cell Host & Microbe,Cell Press,"Lakshmi Goyal, Ella Hinson, Amanda Monahan, Caeul Lim",1931-3128,1931-3128,17.872 
Cell Host & Microbe,Cell Host & Microbe,Cell Press,"Lakshmi Goyal, Ella Hinson, Amanda Monahan, Caeul Lim",1931-3128,1931-3128,17.872 
Cell Host Microbe,Cell (Journal),Cell Press,John Pham,0092-8674,1097-4172,36.216
Cell J,Cellular Microbiology ,Wiley,,‎1462-5822,‎1462-5822,4.288
Cell Microbiol,Cellular & Molecular Biology Letters,BioMed Central ,Aleksander Sikorski,1689-1392,1689-1392,3.367
Cell Mol Biol Lett,Cellular & Molecular Immunology,,"Xuetao Cao,Zhigang Tian",1672-7681,2042-0226,7.058
Cell Mol Immunol,Cellular and Molecular Life Sciences,Springer,Klaus Eichmann,1420-682X,1420-9071,7.014
Cell Mol Life Sci,Cell Regeneration,Elsevier,Ying Lou,20459769,20459769,
Cell Regen (Lond),Cell Reports ,Cell Press,,2211-1247,2211-1247,7.815
Cell Rep,,,,,,
Cell Res,,,,,,
Cell Research,,,,,,
Cell Tissue Res,,,,,,
Cells,,,,,,
Cellular & Molecular Immunology,,,,,,
Cellular & Molecular Immunology AB  -The novel coronavirus was denoted as 2019-nCoV by WHO (https://www.who.int/emergencies/diseases/novel-coronavirus-2019) and the Wuhan pneumonia was named as novel coronavirus-infected pneumonia (NCIP) by Chinese scient,,,,,,
Cent Asian J Glob Health,,,,,,
Cent Eur J Immunol,,,,,,
Chem Biol,,,,,,
Chem Cent J,,,,,,
Chem Rev,,,,,,
Chem Sci,,,,,,
ChemBioChem,,,,,,
Chemistry,,,,,,
Chemistry & Industry,,,,,,
Chest,,,,,,
Children (Basel),,,,,,
Chin J Integr Med,,,,,,
Chin Med,,,,,,
Chin Med J (Engl),,,,,,
Chinese Critical Care Medicine,,,,,,
Chinese Journal of Anesthesiology,,,,,,
Chinese Journal of Applied Clinical Pediatrics,,,,,,
Chinese Journal of Behavioral Medicine and Brain Science,,,,,,
Chinese Journal of Burns,,,,,,
Chinese Journal of Clinical Infectious Diseases,,,,,,
Chinese Journal of Digestion,,,,,,
Chinese Journal of Emergency Medicine,,,,,,
Chinese Journal of Evidence-Based Medicine,,,,,,
Chinese Journal of Experimental and Clinical Virology,,,,,,
Chinese Journal of Experimental Ophthalmology,,,,,,
Chinese Journal of Gastrointestinal Surgery,,,,,,
Chinese Journal of Geriatrics,,,,,,
Chinese Journal of Hepatology,,,,,,
Chinese Journal of Hospital Administration,,,,,,
Chinese Journal of Infectious Diseases,,,,,,
Chinese Journal of Laboratory Medicine,,,,,,
Chinese Journal of Microbiology and Immunology,,,,,,
Chinese Journal of Obstetrics and Gynecology,,,,,,
Chinese Journal of Oncology,,,,,,
Chinese Journal of Organ Transplantation,,,,,,
Chinese Journal of Orthopaedic Trauma,,,,,,
Chinese Journal of Pediatrics,,,,,,
Chinese Journal of Perinatal Medicine,,,,,,
Chinese Journal of Preventive Medicine,,,,,,
Chinese Journal of Radiology,,,,,,
Chinese Journal of Stomatology,,,,,,
Chinese Journal of Surgery,,,,,,
Chinese Journal of Trauma,,,,,,
Chinese Medical Journal,,,,,,
Chinese medical sciences journal = Chung-kuo i hsueh k'o hsueh tsa chih,,,,,,
Chinese Pediatric Emergency Medicine,,,,,,
Chronic Dis Transl Med,,,,,,
Ci Ji Yi Xue Za Zhi,,,,,,
Cilia,,,,,,
Clin Appl Thromb Hemost,,,,,,
Clin Case Rep,,,,,,
Clin Chem,,,,,,
Clin Chem Lab Med,,,,,,
Clin Dev Immunol,,,,,,
Clin Endosc,,,,,,
Clin Epidemiol,,,,,,
Clin Exp Emerg Med,,,,,,
Clin Exp Immunol,,,,,,
Clin Exp Vaccine Res,,,,,,
Clin Infect Dis,,,,,,
Clin Interv Aging,,,,,,
Clin J Gastroenterol,,,,,,
Clin Kidney J,,,,,,
Clin Mol Allergy,,,,,,
Clin Nutr Res,,,,,,
Clin Ophthalmol,,,,,,
Clin Oral Investig,,,,,,
Clin Otolaryngol,,,,,,
Clin Pharmacol Ther,,,,,,
Clin Pract,,,,,,
Clin Pract Cases Emerg Med,,,,,,
Clin Proteomics,,,,,,
Clin Sci (Lond),,,,,,
Clin Transl Allergy,,,,,,
Clin Transl Immunology,,,,,,
Clin Transl Med,,,,,,
Clin Trials,,,,,,
Clin Vaccine Immunol,,,,,,
Clinica Chimica Acta,,,,,,
Clinical & Translational Immunology,,,,,,
Clinical Chemistry,,,,,,
Clinical Imaging,,,,,,
Clinical Infectious Diseases,,,,,,
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,,,,,
"Clinical Infectious Diseases,",,,,,,
"Clinical medicine (London, England)",,,,,,
Clinical Microbiology and Infection,,,,,,
Clinics (Sao Paulo),,,,,,
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,,,,,,
CME,,,,,,
CNS Oncol.; 8(4):CNS45,,,,,,
Cochrane Database Syst Rev,,,,,,
Cold Spring Harb Mol Case Stud,,,,,,
Colomb Med (Cali).; 44(2):121-128,,,,,,
Comb Chem High Throughput Screen,,,,,,
Commun Biol,,,,,,
Commun Dis Intell (2018),,,,,,
Comp Funct Genomics,,,,,,
Complementary Therapies in Clinical Practice,,,,,,
Comput Intell Neurosci,,,,,,
Comput Math Methods Med,,,,,,
Comput Struct Biotechnol J,,,,,,
Computers in Biology and Medicine,,,,,,
Confl Health,,,,,,
Conserv Physiol,,,,,,
Contrast Media Mol Imaging,,,,,,
Cough,,,,,,
Crim Justice Ethics,,,,,,
Crit Care,,,,,,
Crit Care Med,,,,,,
Crit Care Res Pract,,,,,,
Crit Rev Microbiol,,,,,,
Crit Ultrasound J,,,,,,
Critical Care,,,,,,
Croat Med J,,,,,,
Curationis,,,,,,
Cureus.; 10(3):e2387,,,,,,
Cureus.; 11(4):e4577,,,,,,
Cureus.; 7(9):e332,,,,,,
Curr Chem Genomics,,,,,,
Curr Clin Microbiol Rep,,,,,,
Curr Drug Targets,,,,,,
Curr Genomics,,,,,,
Curr HIV Res,,,,,,
Curr Neuropharmacol,,,,,,
Curr Oncol,,,,,,
Curr Opin Chem Biol,,,,,,
Curr Opin HIV AIDS,,,,,,
Curr Opin Infect Dis,,,,,,
Curr Opin Microbiol,,,,,,
Curr Opin Virol,,,,,,
Curr Pharm Des,,,,,,
Curr Protein Pept Sci,,,,,,
Curr Ther Res Clin Exp,,,,,,
Curr Top Med Chem,,,,,,
Curr Treat Options Infect Dis,,,,,,
Current opinion in pulmonary medicine,,,,,,
Current topics in medicinal chemistry,,,,,,
Current Tropical Medicine Reports,,,,,,
Cytokine Growth Factor Rev,,,,,,
Cytometry Part A,,,,,,
Daru,Data in Brief,Elsevier,"Hao-Ran Wang, Ganhui Lan",,2352-3409,0.93
Data Brief,Data in Brief,Elsevier,"Hao-Ran Wang, Ganhui Lan",,2352-3409,0.93
Data in Brief,Database: The Journal of Biological Databases and Curation,Oxford University Press,David Landsman,1758-0463,1758-0463,3.978
Database (Oxford),Deutsche Apotheker Zeitung,Deutsche Apotheker Verlag,"Armin Edalat, Doris Uhl", 0011-9857,,
Deutsche Apotheker Zeitung,Developmental & Comparative Immunology,,"K. Söderhäll, M. Belosevic",0145-305X,,3.119
Dev Immunol,Developmental Psychology,American Psychological Association ,Eric F. Dubow,0012-1649,1939-0599,2.934
Dev Psychol,Development & Reproduction,Korean Society of Developmental Biology,Jang-Soo Chun,2465-9541,2465-9525,
Dev Reprod,Developing World Bioethics,,"Debora Diniz, Udo Schüklenk",1471-8731,1471-8847,1.41
Dev World Bioeth,Diabetes Spectrum,American Diabetes Association,Martin G. Myers Jr.,0012-1797,1939-327X,7.273
Diabetes,Diabetes Spectrum,,,,,
Diabetes Spectr,Diagnostic Pathology,,Dr. Anil Parwani,,1746-1596,2.211
Diagn Pathol,Diagnosis,De Gruyter,,2194-8011,2194-802X,
Diagnosis,Diagnostics,Multidisciplinary Digital Publishing Institute,Prof. Dr. Andreas Kjaer,2075-4418,2075-4418,2.489
Diagnostics (Basel),Digestive Diseases and Sciences,Springer Science+Business Media,Jonathan Kaunitz,0163-2116,1573-2568,2.937
Dig Dis Sci,Disease Markers,,Paola Gazzaniga,,,2.761
Dis Markers,Disease Models & Mechanisms (DMM),The Company of Biologists ,Monica Justice,1754-8403,1754-8411,4.028
Dis Model Mech,Disaster Health,Taylor and Francis group,James M. Shultz,2166-5044,2166-5052,
Disaster Health,Disaster and Military Medicine,BioMed Central,,2054-314X,2054-314X,
Disaster Mil Med,Diseases,Multidisciplinary Digital Publishing Institute,Prof. Dr. Maurizio Battino,2079-9721,2079-9721,
Diseases,DNA Research,Oxford University Press for the Kazusa DNA Research Institute,Michio Oishi,1340-2838,1756-1663,5.404
DNA Res,Drug Delivery and Translational Research,,Maria Jose Alonso,2190-393X,2190-3948,3.345
Drug Deliv Transl Res,"Drug Design, Development and Therapy",Dove Medical Press,Daniel S. Pilch,1177-8881,1177-8881,3.028
Drug Des Devel Ther,Drug Development Research,,David Gurwitz,,1098-2299,1.742
Drug Dev Res,Drug Discoveries & Therapeutics,,Kazuhisa SEKIMIZU,1881-7831,1881-784X,
Drug Discoveries & Therapeutics,Drug Discovery Today,Elsevier,,1359-6446,1359-6446,6.369
Drug Discovery Today,"
Drug Target Insights",Sage Publishing,,1177-3928,1177-3928,
Drug Target Insights,Drugs,Springer,"Dene Peters
",0012-6667,"1179-1950
",4.647
Drugs,Drugs In Context,Bioexcel Publishing Ltd. ,"Gordon Mallarkey, PhD",,1740-4398,1.087
Drugs Context,Eastern Mediterranean Health Journal,World Health Organization,Mahmoud Fikri,1687-1634 ,1687-1634 ,0.663
Eastern Mediterranean Health Journal,EBioMedicine,Elsevier," Dr. Duc H. Le, Dr. Julie Stacey",,2352-3964,6.68
EBioMedicine,EClinicalMedicine,Elsevier,Dr Claudia Schaefer,,2589-5370,
EClinicalMedicine,EcoHealth,Springer,Peter Daszak,1612-9202,1612-9210,2.566
Ecohealth,Ecology and Evolution,Wiley-Blackwell,"Allen Moore, Andrew Beckerman",,2045-7758,2.34
Ecol Evol,Ecology Letters,Wiley-Blackwell,Tim Coulson,1461-023X,1461-0248,10.689
Ecol Lett,Ecological Modelling,,Dr. Brian D. Fath,,0304-3800,2.852
Ecol Modell,Economic Outlook,Wiley-Blackwell,,0140-489X ,1468-0319,
Economic Outlook,Einstein (São Paulo),,,1679-4508,2317-6385,
Einstein (Sao Paulo),The electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine,IFCC Communications and Publications Division,János Kappelmayer,,,
EJIFCC,European Journal of Nuclear Medicine and Molecular Imaging,Springer,Angelika Bischof-Delaloye,1619-7070,2191-219X ,2.68
EJNMMI Res,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e05564,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e09015,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e09186,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e11785,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e11275,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e12469,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e14228,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e16965,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e17636,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e18311,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e18491,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e22069,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e23172,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e25687,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e26738,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e26875,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e30700,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31257,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31662,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31919,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e37324,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e37663,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e39494,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e40977,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e41426,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e42037,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e43764,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e43983,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e44345,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e45205,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e46681,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47117,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47261,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47615,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e51230,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 9:e55570,The EMBO Journal  ,EMBO press,Bernd Pulverer,"	0261-4189",1460-2075,11.2
EMBO J,EMBO Molecular Medicine,EMBO Press,Philippe Sansonetti,1757-4676,1757-4684,10.293
EMBO Mol Med,EMBO Reports,EMBO Press,Howy Jacobs,1469-221X,1469-3178,8.383
EMBO Rep,Archives of Academic Emergency Medicine,Shahid Beheshti University of Medical Sciences ,Iraj Najafi,         2645-4904,       2345-4563,
Emerg (Tehran),Emerging Health Threats Journal,,,,,
Emerg Health Threats J,Emerging Infectious Diseases ,Centers for Disease Control and Prevention,,"	1080-6040",1080-6059,7.422
Emerg Infect Dis,Internal and Emergency Medicine,Hybrid,"Domenico Prisco
",,"	2222-1751",
Emerg Med Int,Emerging microbes and infections,Taylor & Francis,,,,
Emerg Microbes Infect,Emerging Themes in Epidemiology, BioMed Central, Peter Smith,,,
Emerg Themes Epidemiol,Emergency medicine practice,,,,,
Emergency medicine practice,Emerging infectious diseases ,,,1080-6059,,
Emerging infectious diseases,Emerging microbes & infections, Taylor & Francis,,,"	2222-1751",
Emerging microbes & infections,eNeuro,,,,,
eNeuro,Enviormental Health,,Dr. Stephanie L. Richards, 1178-6302, 1178-6302,
Environ Health,Environ Health Insights,,Dr. Stephanie L. Richards, 1178-6302, 1178-6302,
Environ Health Insights,Environ Health Perspect,National Institute of Environmental Health Sciences,Sally Perreault Darney,0091-6765,1552-9924,
Environ Health Perspect,Environmental Health and Preventive Medicine,Yoshihiro Kokubo,,1347-4715,,1.672
Environ Health Prev Med,Environment International,,,0160-4120,,7.943
Environ Int,Environmental Science and Pollution Research,Hybrid,Philippe Garrigues,,,3.208
Environ Sci Pollut Res Int,,,,,,
Environ Sci Technol Lett,Environment and Planning A: Economy and Space,SAGE Publishing, Bryan W. Brooks,, 2328-8930,6.934
Environment and Planning A: Economy and Space,Epidemics,"Dr. Katia Koelle, Professor Steven Riley, Dr. Cecile Viboud",,,,3.456
Epidemics,Epidemiol Health,,,,,
Epidemiol Health,Epidemiol Infection,Cambridge University Press,,"	0950-2688",1469-4409,2.075
Epidemiol Infect,Epidemiol Infection,,,,,
Epidemiol Infect.; 147:e310,Epidemiol Infection,,,,,
Epidemiol Infect.; 148:e22,Epidemiology and Infection,Cambridge University Press,Norman Noah,0950-2688,1469-4409,
Epidemiol Infect.; 148:e4,Epidemiologic Perspectives & Innovations,BioMed Central,,,1742-5573,
Epidemiol Perspect Innov,Epidemiologic Reviews,Oxford University Press on behalf of the Johns Hopkins Bloomberg School of Public Health,David D. Celentano,0193-936X,1478-6729,10.383
Epidemiol Rev,Epidemiology,,Timothy L. Lash ,1044-3983,1531-5487,
Epidemiology,ERJ Open Research,European Respiratory Society,Alyn H. Morice,,2312-0541,
ERJ Open Res,Ethiopian Journal of Health Sciences,College of Health Science of Jimma University,Abraham Haileamlak,1029-1857,2413-7170,
Ethiop J Health Sci,European Biophysics Journal,Springer,Robert Gilbert,0175-7571,1432-1017,1.873 
Eur Biophys J,European Clinical Respiratory Journal,Taylor and Francis Group,Leif Bjermer,,2001-8525,
Eur Clin Respir J,European Journal of Case Reports in Internal Medicine,SMC media Srl,John Kellett,,,
