JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
Dig Dis Sci,Digestive Diseases and Sciences,Springer Science+Business Media,Jonathan Kaunitz,0163-2116,1573-2568,2.937
Dis Markers,Disease Markers,,Paola Gazzaniga,,,2.761
Dis Model Mech,Disease Models & Mechanisms (DMM),The Company of Biologists ,Monica Justice,1754-8403,1754-8411,4.028
Disaster Health,Disaster Health,Taylor and Francis group,James M. Shultz,2166-5044,2166-5052,
Disaster Mil Med,Disaster and Military Medicine,BioMed Central,,2054-314X,2054-314X,
Diseases,Diseases,Multidisciplinary Digital Publishing Institute,Prof. Dr. Maurizio Battino,2079-9721,2079-9721,
DNA Res,DNA Research,Oxford University Press for the Kazusa DNA Research Institute,Michio Oishi,1340-2838,1756-1663,5.404
Drug Deliv Transl Res,Drug Delivery and Translational Research,,Maria Jose Alonso,2190-393X,2190-3948,3.345
Drug Des Devel Ther,"Drug Design, Development and Therapy",Dove Medical Press,Daniel S. Pilch,1177-8881,1177-8881,3.028
Drug Dev Res,Drug Development Research,,David Gurwitz,,1098-2299,1.742
Drug Discoveries & Therapeutics,Drug Discoveries & Therapeutics,,Kazuhisa SEKIMIZU,1881-7831,1881-784X,
Drug Discovery Today,Drug Discovery Today,Elsevier,,1359-6446,1359-6446,6.369
Drug Target Insights,"
Drug Target Insights",Sage Publishing,,1177-3928,1177-3928,
Drugs,Drugs,Springer,"Dene Peters
",0012-6667,"1179-1950
",4.647
Drugs Context,Drugs In Context,Bioexcel Publishing Ltd. ,"Gordon Mallarkey, PhD",,1740-4398,1.087
Eastern Mediterranean Health Journal,Eastern Mediterranean Health Journal,World Health Organization,Mahmoud Fikri,1687-1634 ,1687-1634 ,0.663
EBioMedicine,EBioMedicine,Elsevier," Dr. Duc H. Le, Dr. Julie Stacey",,2352-3964,6.68
EClinicalMedicine,EClinicalMedicine,Elsevier,Dr Claudia Schaefer,,2589-5370,
Ecohealth,EcoHealth,Springer,Peter Daszak,1612-9202,1612-9210,2.566
Ecol Evol,Ecology and Evolution,Wiley-Blackwell,"Allen Moore, Andrew Beckerman",,2045-7758,2.34
Ecol Lett,Ecology Letters,Wiley-Blackwell,Tim Coulson,1461-023X,1461-0248,10.689
Ecol Modell,Ecological Modelling,,Dr. Brian D. Fath,,0304-3800,2.852
Economic Outlook,Economic Outlook,Wiley-Blackwell,,0140-489X ,1468-0319,
Einstein (Sao Paulo),Einstein (São Paulo),,,1679-4508,2317-6385,
EJIFCC,The electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine,IFCC Communications and Publications Division,János Kappelmayer,,,
EJNMMI Res,European Journal of Nuclear Medicine and Molecular Imaging,Springer,Angelika Bischof-Delaloye,1619-7070,2191-219X ,2.68
eLife,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e05564,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e09015,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e09186,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e11785,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e11275,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e12469,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e14228,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e16965,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e17636,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e18311,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e18491,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e22069,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e23172,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e25687,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e26738,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e26875,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e30700,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31257,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31662,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31919,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e37324,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e37663,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e39494,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e40977,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e41426,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e42037,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e43764,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e43983,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e44345,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e45205,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e46681,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47117,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47261,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47615,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e51230,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 9:e55570,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
EMBO J,The EMBO Journal  ,EMBO press,Bernd Pulverer,"	0261-4189",1460-2075,11.2
EMBO Mol Med,EMBO Molecular Medicine,EMBO Press,Philippe Sansonetti,1757-4676,1757-4684,10.293
EMBO Rep,EMBO Reports,EMBO Press,Howy Jacobs,1469-221X,1469-3178,8.383
Emerg (Tehran),Archives of Academic Emergency Medicine,Shahid Beheshti University of Medical Sciences ,Iraj Najafi,         2645-4904,       2345-4563,
Emerg Health Threats J,Emerging Health Threats Journal,,,,,
Emerg Infect Dis,Emerging Infectious Diseases ,Centers for Disease Control and Prevention,,"	1080-6040",1080-6059,7.422
Emerg Med Int,Internal and Emergency Medicine,Hybrid,"Domenico Prisco
",,"	2222-1751",
Emerg Microbes Infect,Emerging microbes and infections,Taylor & Francis,,,,
Emerg Themes Epidemiol,Emerging Themes in Epidemiology, BioMed Central, Peter Smith,,,
Emergency medicine practice,Emergency medicine practice,,,,,
Emerging infectious diseases,Emerging infectious diseases ,,,1080-6059,,
Emerging microbes & infections,Emerging microbes & infections, Taylor & Francis,,,"	2222-1751",
eNeuro,eNeuro,,,,,
Environ Health,Enviormental Health,,Dr. Stephanie L. Richards, 1178-6302, 1178-6302,
Environ Health Insights,Environ Health Insights,,Dr. Stephanie L. Richards, 1178-6302, 1178-6302,
Environ Health Perspect,Environ Health Perspect,National Institute of Environmental Health Sciences,Sally Perreault Darney,0091-6765,1552-9924,
Environ Health Prev Med,Environmental Health and Preventive Medicine,Yoshihiro Kokubo,,1347-4715,,1.672
Environ Int,Environment International,,,0160-4120,,7.943
Environ Sci Pollut Res Int,Environmental Science and Pollution Research,Hybrid,Philippe Garrigues,,,3.208
Environ Sci Technol Lett,,,,,,
Environment and Planning A: Economy and Space,Environment and Planning A: Economy and Space,SAGE Publishing, Bryan W. Brooks,, 2328-8930,6.934
Epidemics,Epidemics,"Dr. Katia Koelle, Professor Steven Riley, Dr. Cecile Viboud",,,,3.456
Epidemiol Health,Epidemiol Health,,,,,
Epidemiol Infect,Epidemiol Infection,Cambridge University Press,,"	0950-2688",1469-4409,2.075
Epidemiol Infect.; 147:e310,Epidemiol Infection,,,,,
Epidemiol Infect.; 148:e22,Epidemiol Infection,,,,,
Epidemiol Infect.; 148:e4,Epidemiology and Infection,Cambridge University Press,Norman Noah,0950-2688,1469-4409,
Epidemiol Perspect Innov,Epidemiologic Perspectives & Innovations,BioMed Central,,,1742-5573,
Epidemiol Rev,Epidemiologic Reviews,Oxford University Press on behalf of the Johns Hopkins Bloomberg School of Public Health,David D. Celentano,0193-936X,1478-6729,10.383
Epidemiology,Epidemiology,,Timothy L. Lash ,1044-3983,1531-5487,
ERJ Open Res,ERJ Open Research,European Respiratory Society,Alyn H. Morice,,2312-0541,
Ethiop J Health Sci,Ethiopian Journal of Health Sciences,College of Health Science of Jimma University,Abraham Haileamlak,1029-1857,2413-7170,
Eur Biophys J,European Biophysics Journal,Springer,Robert Gilbert,0175-7571,1432-1017,1.873 
Eur Clin Respir J,European Clinical Respiratory Journal,Taylor and Francis Group,Leif Bjermer,,2001-8525,
Eur J Case Rep Intern Med,European Journal of Case Reports in Internal Medicine,SMC media Srl,John Kellett,,,
Eur J Clin Microbiol Infect Dis,European Journal of Clinical Microbiology & Infectious Diseases,Springer,Laurent Poirel,"	0934-9723",1435-4373,2.722
Eur J Dent,European Journal of Dentistry,Thieme Medical Publishers,Necdet Adanir,1305-7456,,
Eur J Histochem,European Journal of Histochemistry,PagePress,Carlo Pellicciari,1121-760X,2039-6805,
Eur J Immunol,European Journal of Immunology,Wiley-VCH,,0014-2980,,
Eur J Microbiol Immunol (Bp),European Journal of Microbiology and Immunology,,,2062-509X,2062-8633,
Eur J Nucl Med Mol Imaging,European Journal of Nuclear Medicine and Molecular Imaging,Springer,Arturo Chiti,1619-7070,1619-7089,6.522 
Eur J Pediatr,European Journal of Pediatrics,Springer,Peter de Winter,0340-6199,1432-1076,2.143
Eur J Trauma Emerg Surg,European Journal of Trauma and Emergency Surgery,Springer,Ingo Marzi,1863-9933,,1.453 
Eur Respir J,European Respiratory Journal ,European Respiratory Society,Martin Kolb,0903-1936,1399-3003,
Eur Spine J,European Spine Journal,Springer,Robert Gunzburg,0940-6719 ,1432-0932,2.87
EURASIP J Bioinform Syst Biol,EURASIP Journal on Bioinformatics and Systems Biology,,,,,
Euro Surveill,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
European J Med Plants,European Journal of Medicinal Plants,Sciencedomain International,Marcello Iriti,,2231-0894,
European Journal of Clinical Investigation,European Journal of Clinical Investigation,John Wiley & Sons,Hendrik Nathoe,0014-2972,1365-2362,
European journal of immunology,European Journal of Immunology,Wiley-VCH,,0014-2980,,
European Journal of Nuclear Medicine and Molecular Imaging,European Journal of Nuclear Medicine and Molecular Imaging,Springer,Arturo Chiti,1619-7070,1619-7089,6.522
European Journal of Pharmaceutical Sciences,European Journal of Pharmaceutical Sciences  ,Elsevier,Martin Brandl,0928-0987,1879-0720,
European Radiology,European Radiology,Springer,Yves Menu,0938-7994,1432-1084,3.919
European review for medical and pharmacological sciences,European Review for Medical and Pharmacological Sciences,Verduci Editore,A.V. GRECO & A. GASBARRINI,1128-3602,2284-0729,2.141
Eurosurveillance,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
Evid Based Complement Alternat Med,Evidence-Based Complementary and Alternative Medicine,Hindawi Publishing Corporation,,1741-427X,1741-4288,
Evol Appl,Evolutionary Applications, John Wiley & Sons,Louis Bernatchez,,1752-4571,
Evol Bioinform Online,Evolutionary Bioinformatics Online,Libertas Academica,Dennis Wall,,1176-9343,
Evol Med Public Health,"Evolution, Medicine, and Public Health",Oxford University Press,Charles Nunn,,2050-6201,
Evolution,Evolution,John Wiley & Sons,Tracey Chapman,0014-3820,1558-5646,
EXCLI J,EXCLI Journal,University of Mainz,J. G. Hengstler,,1611-2156,
Exp Dermatol,Experimental Dermatology,John Wiley & Sons,Ralf Paus & Maksim Plikus,,1600-0625,
Exp Mol Med,Experimental & Molecular Medicine  ,Nature Publishing Group,Dae-Myung Jue,1226-3613,2092-6413,
Exp Neurol,Experimental Neurology,Elsevier,Ahmet Hoke,0014-4886,1090-2430,
Exp Ther Med,Experimental and Therapeutic Medicine,Spandidos Publications,Demetrios A. Spandidos,1792-0981,1792-1015,
Exp Transl Stroke Med,Experimental and Translational Stroke Medicine,BioMed Central,,,2040-7378,
Expert Opin Drug Deliv,Expert Opinion on Drug Delivery,Taylor and Francis Group,Uday Kompella,1742-5247,1744-7593,
Expert Rev Anti Infect Ther,Expert Review of Anti-infective Therapy  ,Taylor and Francis Group,,1478-7210,1744-8336,
Expert Rev Mol Med,Expert Reviews in Molecular Medicine,Cambridge University Press,Timothy M. Cox,,1462-3994,
Expert Rev Vaccines,Expert Review of Vaccines,Taylor and Francis Group,Samantha Wilkinson,1476-0584,1744-8395,
Eye,Eye,Nature Research,Sobha Sivaprasad,0950-222X,1476-5454,
Eye Vis (Lond),Eye and Vision,Springer,Jia Qu,,2326-0254,3.854
F1000 Biol Rep,F1000 Biology Reports,Faculty of 1000 Ltd,,,1740-4118,
F1000Prime Rep,F1000Prime Reports,Faculty of 1000 Ltd,,,2051-7599,
F1000Res,F1000 Research,Faculty of 1000 Ltd,,,2046-1402,
F1000Research,,,,,,
Fam Med Community Health,,,,,,
FASEB J,,,,,,
FEBS Lett,,,,,,
FEBS Open Bio,,,,,,
FEMS Microbiol Rev,,,,,,
Fibrogenesis Tissue Repair,,,,,,
Food Environ Virol,,,,,,
Food Nutr Res,,,,,,
Forensic Science International: Mind and Law,,,,,,
Front Aging Neurosci,,,,,,
Front Bioeng Biotechnol,,,,,,
Front Cell Dev Biol,,,,,,
Front Cell Infect Microbiol,,,,,,
Front Cell Neurosci,,,,,,
Front Chem,,,,,,
Front Endocrinol (Lausanne),,,,,,
Front Genet,,,,,,
Front Hum Neurosci,,,,,,
Front Immunol,,,,,,
Front Med (Lausanne),,,,,,
Front Microbiol,,,,,,
Front Mol Biosci,,,,,,
Front Mol Neurosci,,,,,,
Front Neural Circuits,,,,,,
Front Neuroanat,,,,,,
Front Neurol,,,,,,
Front Neurorobot,,,,,,
Front Neurosci,,,,,,
Front Oncol,,,,,,
Front Pediatr,,,,,,
Front Pharmacol,,,,,,
Front Physiol,,,,,,
Front Plant Sci,,,,,,
Front Psychol,,,,,,
Front Public Health,,,,,,
Front Synaptic Neurosci,,,,,,
Front Vet Sci,,,,,,
Front Zool,,,,,,
Frontiers in Microbiology,,,,,,
Future Microbiol,,,,,,
Future Virol,,,,,,
G3 (Bethesda),,,,,,
Gastroenterology,,,,,,
Gene Ther,,,,,,
Genes (Basel),,,,,,
Genes Immun,,,,,,
Genet Mol Biol,,,,,,
Genet Sel Evol,,,,,,
Genet Vaccines Ther,,,,,,
Genetics,Genetics,,Mark Johnston,0016-6731,1943-2631,4.075
Genom Data,,,,,,
Genome Announc,,,,,,
Genome Biol,Genome Biology ,BioMed Central,Barbara Cheifet,1474-760X,1465-6906,13.214
Genome Biol Evol,Genome Biology and Evolution,Oxford University Press,Laura A. Katz and Adam Eyer-Walker,1759-6653,,3.726
Genome Med,Canadian Journal of Genetics and Cytology,BioMed Central,Rabia Begum,1756-994X,,8.898
Genomics Inform,,,Taesung Park,,,
Genomics Proteomics Bioinformatics,,,Jun Yu,,,6.597
Gigascience,,OUP and BGI,Laurie Goodman,2047-217X,,4.688
Glia,,Wiley,Bruce R. Ransom and Helmut Kettenmann,,1098-1136,5.829
Glob Adv Health Med,,SAGE,,,,
Glob Chall,Global Change Biology,Global Challeges,Steve Long,1079-5049,,
Glob Health Action,Global Health,BMJ Global Health,Peter Byass,1654-9716,1654-9880,1.817
Glob Health Res Policy,Global Health,Glob Health,Xingguang Chen,2397-0642,,
Glob Health Sci Pract,Global Health Science and practice,JOhn Hopkins,Stephen Hodgins,2169-575X,,
Glob J Health Sci,Global Journal of Health science,Canadian Center of Science & Education,Trisha Dunning,1916-9736,1916-9744,
Glob Pediatr Health,Global Pediatric Health,SAGE Publication Inc,Russel W Steele,2333-794X,2333-794X,
Glob Public Health,Global Public Health,Taylor & Francis,Richard Parker,1744--1706,1744-1692,1.978
Glob Soc Policy,Global Social Policy,SAGE Publication Inc,Gerard Boychuk,1468-0181,1741-2803,
Global Biosecurity,Global Biusecurity,Univercsity of New South Wales,Dr. Inglesby,2652-0036,,
Global Health,Global Health Journal,BMJ Global Health,Jonathan Fahey,2096-3947,2414-6447,
Global Health Research and Policy,Global Health Research and Policy,MBC,Zongfu Mao,,,
Global Social Welfare,International Social Work,Wiley- Blackwell,Ake Bergmark,1369-6866,,
Glycobiology,Glycobiology,Oxford University Press,Robert S,0959-6658,0959-6658,
GMS Curr Top Otorhinolaryngol Head Neck Surg,GMS Current Topics in Otorhinolaymgol Head Neck Surgery,German Society of Otorhinolaryngol,,1865-1011,,
GMS Hyg Infect Control,German Medical Science Hygiene and Ifection Control,German Medical Science GMS Publishing House,Axel Kramer,2196-5226,,
Graefe's Archive for Clinical and Experimental Ophthalmology,Graefe Archive for Clinical and Experimental Ophthalmolog,Holtzbrinzk Springer Nture Publishing Group,,0721-832X,1435-702X,
Gut,Gut,MBJ Group,Emad El- Omar,0017-5749,1468-3288,
Gut Pathog,Gut Pathogens,Gut Pathogens,Niyaz Ahmed,1757-4749,,
Haematologica,Journal of Ferrata Storti Foundation,Ferrata Storti Foundation,Luca Malcovati,0390-6078,1592-8721,7.57
Harefuah,Harefuah,Israel Medical Association,Yehuda Shoenfeld,0017-7768,,0.17
Harm Reduct J,Harm Reduction Journal,BioMed Central,Nick Crofts,1477-7517,,1.64
Health Care Management Science,Health Care Management Science,Kluwer Academic Publishers,Gregory Zarec,1386-9620,1572-9389,2.059
Health Communication,Health Communication,Taylor & Francis,Teresa L Thompson,1041-0236,1532-7027,1.464
Health Expect,Health Expectatitions,Wiley ,Carolyn Chewgraham,1369-6513,1369-7625,1.56
Health Hum Rights,Health and Human Rights,Harward University Press,Paul Farmer,1079-0969,2150-4113,1.407
Health Policy and Technology,Health Policy and Technology,Elsevier,W. Ken Redekop,2211-8837,,1.225
Health Policy Plan,Health Policy and Planning,Oxford University Press,Sandra Mounier-Jack,1460-2237,,2.075
Health Psychol Behav Med, Health Phychol Behav Med,Taylor & Francis,,,,0
Health Qual Life Outcomes,Health Qual. Life Outcomes,BioMed Central,Holger Schunemann,1477-7525,,2.278
Health Res Policy Syst,health research policy systems,BioMed Central,,1478-4505,,2.218
Health Sci Rep,Health Science Reports,Wiley,Alejandro Montenegro-Montero,,,
Health Secur,Health Security,"Mary Ann Liebert, Inc",Thomas Inglesby,2326-5094,2326-5108,1.91
Health Technol (Berl),Healthcare Technology,National Institute for Health research,Magdalena Stoeva,1366-5278,2046-4924,4.058
Healthc Inform Res,Healthcare Informatics Research,SAGE Journals,Rob Procter,,,1.32
Healthc Policy,Health Policy,Elsevier,Reinhard Busse,0168-8510,,2.075
Healthcare,Healthcare — Open Access Journal,MDPI,Dr. Sampath Parthasarathy ,,2227-9032,
Healthcare (Basel),"Healthcare (Basel, Switzerland)",Multidisciplinary Digital Publishing Institute,,2227-9032,,
Heart Fail Rev,Heart Failure Reviews,Springer,Sidney Goldstien and Hani N. Sabbah,,1573-7322,4.015
Heart Lung Vessel,Heart Lung Vessel,Publons,Nobuhisa Hagiwara,,,1.62
Heart Rhythm,Heart Rhythm,Douglas Zipes,Peng Sheng Chen,1547-5271,1556-3871,5.225
HeartRhythm Case Rep,Heart Rhythm Case Reports,Elsevier,T. Jared Bunch,2214-0271,2214-0271,
Heliyon,Heliyon,Elsevier,,2405-8440,,
Hematol Rev, Hematology Reports,Elsevier,Giovanni Martinelli,,2038-8330,
Hepat Mon,Hepathisis monthly,Kowsar Publishing,Seyed-Moayed Alavian,1735-143X,1735-3408,1.578
Hepat Res Treat,Hepathitis research and treatment,Hindawi,,,,
Hepatol Commun,Hepatology Communications,AASLD(not sure),Gyongyi Szabo,,2471-254X,
Hepatology,Journal of Heptology,,,,,"18,946(2018)"
Herz,Herz,Springer,,,,
High Throughput,High Throughput,MDPI,,25715135,25715135,
Histochem Cell Biol,Histochemistry and Cell Biology,Springer,Jurgen Hoth,0948-6143,1432-119X,2.64
Hong Kong Medical Journal,Hong Kong Medical Journal,Hong Kong Academy of Medical Press,,10242708,10242708,1.588
Hortic Res,Horticulture research,Sciendo,,,2353-3978,
Hum Ecol Interdiscip J,Human Reproduction(switch with 768),Oxford University,A. Van Steirteghem,0268-1161,1460-2350,3.396
Hum Gene Ther,Human Gene Therapy,,Terence R. Flotte,,,3.855
Hum Genomics,Human Genomics,,,,,
Hum Genomics Proteomics,Human Genomics And Proteomics,,"George P. Patrinos, Emanuel F. Petricoin",1757-4242,1757-4242,
Hum Reprod,Human Ecology: An Interdisciplinary Journal,Springer,Daniel G. Bates,1043-0342,1557-7422 ,1.336
Hum Resour Health,Human Resources for Health,BioMed Central with World Health Organization,"James Buchan, Mario Roberto Dal Poz",1478-4491,1478-4491,2.882
Hum Vaccin Immunother,Human Vaccines & Immunotherapeutics(duplicate),Taylor and Francis Group,Ronald Ellis,2164-5515,2164-554X,3.643
Human Vaccines & Immunotherapeutics,Human Vaccines & Immunotherapeutics(duplicate),Taylor and Francis Group,Ronald Ellis,2164-5515,2164-554X,3.643
IDCases,IDCases,Elsevier,Larry Lutwick,2214-2509,2214-2509,
Immun Ageing,immunity and aging,BioMedCentral,,1742-4933,1742-4933,
Immune Netw,immune network journal,,,1598-2629,2092-6685,3.111
Immunity,immunity ,cell press,Peter T Lee,1074-7613,1097-4180,21.522
Immunogenetics,Immunogenetics,Springer,Ronald Bontrop,0093-7711,1432-1211,2.492
Immunol Cell Biol,Immunology & Cell Biology,Wiley Online Library,Anne La Flamme,,1440-1711,3.947
Immunol Lett,Immunology Letters,Elsevier,Francesco Annunziato,,0165-2478,2.552 
Immunol Rev,Immunological Reviews,Wiley Online Library,John Cambier,,1600-065X,11.292
Immunology,Journal of Immunology,American Association of Immunology,Eugene Oltz,0022-1767,1550-6606,
Immunome Res,Immunome Research,BioMed Central,,,1745-7580,0.2
Implement Sci,Implementation Science,BioMed Central,Michael Wensing & Paul Wilson,,1748-5908,2.23
In Silico Pharmacol,In Silico Pharmacology,Springer,"Boris Gutkin, Pramod Nair, Defang Ouyang, and Chang-Guo Zhan",,2193-9616,
Ind Health,Industrial Health,"National Institute of Occupational Health and Safety, Japan",Shigeo Umezaki & Shigeki Koda,0019-8366,1880-8026,1.319
Indian Dermatol Online J,Indian Dermatology Online Journal,"Indian Association of Dermatologists, Venerologists, and Leprologists",Sunil Dogra,2229-5178,2249-5673,
Indian Heart J,Indian Heart Journal,Elsevier,Rakesh Yadav,,0019-4832,
Indian J Anaesth,Indian Journal of Anaesthesia,Indian Society of Anaesthesiologists,Lalit Mehdiratta,0019-5049,0976-2817,
Indian J Community Med,Indian Journal of Community Medicine,Indian Association of Preventative & Social Medicine,Pradeep Kumar,0970-0218,1998-3581,0.65
Indian J Crit Care Med,Indian Journal of Critical Care Medicine,Indian Society of Critical Care Medicine,Atul Kulkarni,0972-5229,1998-359X,0.59
Indian J Dermatol,Indian Journal of Dermatology,"Indian Association of Dermatologists, Venerologists, and Leprologists, West Bengal",Dwijendra Nath Gangopadhyay,0019-5154,1998-3611,1.721
Indian J Med Res,Indian Journal of Medical Research,Indian Council of Medical Research,Anju Sharma,0971-5916,0975-9174,2.061
Indian J Ophthalmol,Indian Journal of Opthalmology,All India Opthalmological Society,Santosh Honavar,0301-4738,1998-3689,1.019
Indian J Pharm Sci,Indian Journal of Pharmaceutical Sciences,Indian Pharmaceutical Association,Divakar Goli,0250-474X,1998-3743,0.762
Indian J Radiol Imaging,Indian Journal of Radiology & Imaging,Indian Radiological & Imaging Association,P. Rama Rao & K. Manjunath Rai,0971-3026,1998-3808,0.33
Indian Journal of Tuberculosis,Indian Journal of Tuberculosis,Elsevier,Vijay Arora,,0019-5707,0.252
Indoor and Built Environment,Indoor and Built Environment,SAGE Journals,Chuck Yu,1420-326X,1423-0070,1.367
Inf Serv Use,Information Services & Use,IOS Press,Arnoud De Kemp & Elliot Siegel,0167-5265,1875-8789,
Infect Agent Cancer,Infectious Agents & Cancer,BioMed Central,Franco Buonaguro & Sam Mbulaiteye,,1750-9378,2.15
Infect Chemother,Infection and Chemotherapy,XMLink,Dong-Gun Lee,2093-2340,2092-6448,0.702
Infect Control Hosp Epidemiol,Infection Control & Hospital Epidemiology,Cambridge Core,Suzanne Bradley,0899-823X,1559-6834,3.084
Infect Dis Model,,,,,,
Infect Dis Poverty,,,,,,
Infect Dis Rep,,,,,,
Infect Dis Ther,,,,,,
Infect Drug Resist,,,,,,
Infect Ecol Epidemiol,,,,,,
Infect Immun,,,,,,
Infection,,,,,,
Infection Control & Hospital Epidemiology,,,,,,
Infection Prevention in Practice,,,,,,
"Infection, Genetics and Evolution",,,,,,
Infectious Disease Modelling,,,,,,
Infectious Disease Reports,,,,,,
Infectious Diseases of Poverty,,,,,,
Infez Med,,,,,,
Infezioni in Medicina,,,,,,
Inflamm Regen,,,,,,
Inflamm Res,,,,,,
Influenza and Other Respiratory Viruses,,,,,,
Influenza Other Respir Viruses,,,,,,
Influenza Res Treat,,,,,,
Innovative Biosystems and Bioengineering,,,,,,
Inquiry,,,,,,
Insect Mol Biol,,,,,,
Insects,,,,,,
Insights Imaging,,,,,,
Int Arch Med,,,,,,
Int Arch Otorhinolaryngol,,,,,,
Int Braz J Urol,,,,,,
Int Health,,,,,,
Int Immunopharmacol,,,,,,
Int J Alzheimers Dis,,,,,,
Int J Ayurveda Res,,,,,,
Int J Bacteriol,,,,,,
Int J Behav Med,,,,,,
Int J Biol Sci,,,,,,
Int J Biomed Sci,,,,,,
Int J Cancer,,,,,,
Int J Cell Biol,,,,,,
Int J Chron Obstruct Pulmon Dis,,,,,,
Int J Circumpolar Health,,,,,,
Int J Clin Pract,,,,,,
Int J Crit Illn Inj Sci,,,,,,
Int J Emerg Med,,,,,,
Int J Endocrinol,,,,,,
Int J Environ Res Public Health,,,,,,
Int J Epidemiol,,,,,,
Int J Equity Health,,,,,,
Int J Gen Med,,,,,,
Int J Genomics,,,,,,
Int J Health Geogr,,,,,,
Int J Health Policy Manag,,,,,,
Int J Health Sci (Qassim),,,,,,
Int J Hyg Environ Health,,,,,,
Int J Hypertens,,,,,,
Int J Infect Dis,,,,,,
Int J Inflam,,,,,,
Int J MCH AIDS,,,,,,
Int J Med Chem,,,,,,
Int J Med Sci,,,,,,
Int J Ment Health Syst,,,,,,
Int J Microbiol,,,,,,
Int J Mol Med,,,,,,
Int J Mol Sci,,,,,,
Int J Nanomedicine,,,,,,
Int J Nurs Sci,,,,,,
Int J Occup Environ Med,,,,,,
Int J Oncol,,,,,,
Int J Oral Sci,,,,,,
Int J Parasitol Drugs Drug Resist,,,,,,
Int J Parasitol Parasites Wildl,,,,,,
Int J Pediatr,,,,,,
Int J Pept,,,,,,
