JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
BMC Pregnancy Childbirth,BMC Pregnancy and Childbirth,BioMed Central,Tovah Honor Aronin,,1471-2393,3.512
BMC Proc,BMC Proceedings,BioMed Central,Anne Menard,,1753-6561,0.67
BMC Psychiatry,BMC Psychiatry,BioMed Central,Darren Byrne,,1471-244X,3.302
BMC Public Health,BMC Public Health,BioMed Central,Natalie Pafitis,,1471-2458,3.275
BMC Pulm Med,BMC Pulmonary Medicine,BioMed Central,Tamara Hughes,,1471-2466,2.596
BMC Res Notes,BMC Research Notes,BioMed Central,Tamara Hughes,,1756-0500,1.34
BMC Struct Biol,BMC Structural Biology,BioMed Central,Alison Cuff,,1472-6807,1.609
BMC Syst Biol,BMC Systems Biology,BioMed Central,Alison Cuff,,1752-0509,2.505
BMC Vet Res,BMC Veterinary Research,BioMed Central,Hayley Henderson,,1746-6148,2.12
BMJ,British Medical Journal,BMJ,Fiona Godlee,"	0959-8138",1756-1833,27.604
BMJ (Clinical research ed.),British Medical Journal (Clinical Research Edition),BMJ,Fiona Godlee,0959-8138,1756-1833,0.48
BMJ Glob Health,BMJ Global Health,BMJ,Dr Seye Abimbola,,2059-7908,
BMJ Open,BMJ Open,BMJ,Adrian Aldcroft,,2044-6055,2.376
BMJ Open Qual,BMJ Open Quality,BMJ,Helen Crisp,,2399-6641,2.413
BMJ Open Respir Res,BMJ Open Respiratory Research,BMJ,Stephen Chapman,,2052-4439,1.302
Body Soc,Body & Society,SAGE Publications,"	Mike Featherstone",1357-034X,1460-3632,1.595
Boletín bibliográfico de la Biblioteca Médica Nacional,Bibliomed. Boletín bibliográfico de la Biblioteca Médica Nacional,,,,,
Bone Joint Res,Bone & Joint Research,The British Editorial Society of Bone & Joint Surgery,Hamish Simpson,,2046-3758,3.652
Bone Marrow Transplant,Bone Marrow Research,,,,,
Bone Res,Bone Research,Springer,Xue-dong Zhou,,2095-6231 ,4.455
Br J Cancer,British Journal of Cancer  ,Nature Research ,Adrian L Harris,0007-0920,1532-1827 ,5.922
Br J Nurs,The British Journal of Nursing,Mark Allen Publishing Ltd.,Ian Peate OBE,0966-0461,,0.46
Br J Ophthalmol,British Journal of Ophthalmology,BMJ,"Keith Barton, James Chodosh and Jost Jonasand",0007-1161,1468-2079,3.806
Br J Sports Med,British Journal of Sports Medicine,BMJ,Karim Khan,          0306-3674,1473-0480,11.645
Brain,Brain: A Journal of Neurology,Oxford University Press,Dimitri Kullmann,"	0006-8950",1460-2156,11.814
Brain Behav,Brain and Behavior,Wiley-Blackwell,Maryann Martone,,2162-3279,2.219
Brain Pathol,Brain Pathology,John Wiley & Sons,Markus Glatzel,"	1015-6305",1750-3639,6.624
Brain Sci,Behavioral and Brain Sciences,Cambridge University Press,"Paul Bloom, Barbara L. Finlay","	0140-525X",1469-1825,15.071
Braz J Med Biol Res,Brazilian Journal of Medical and Biological Research,Associação Brasileira de Divulgação Científica,"Eduardo Magalhães Rego, Luisa Lina Villa, João Pereira Leite, Roberto César Pereira Lima Júnior, Itamar de Souza Santos, Claudia Kimie Suemoto",0100-879X,0100-879X,1.85
Braz J Microbiol,Brazilian Journal of Microbiology,Springer,Marina Baquerizo,1517-8382,1678-4405,2.857
Breast Cancer Res,Breast Cancer Research,BioMed Central, Lewis Chodosh,"	1465-5411",1465-542X,6.142
Breathe (Sheff),Breathe,European Respiratory Society,Claudia Dobler,1810-6838,,0.7
Brief Bioinform,Briefings in Bioinformatics,Oxford University Press,Martin Bishop,"	1467-5463",1477-4054,9.101
Brief Funct Genomics,Briefings in Functional Genomics ,Oxford University Press, Paul Hurd,"	2041-2649",2041-2657,3.133
British journal of anaesthesia,British Journal of Anaesthesia,Elsevier,Hugh C. Hemmings,"	0007-0912",1471-6771,6.199
British Journal of Dermatology,British Journal of Dermatology,Wiley-Blackwell,John Ingram,"	0007-0963",1365-2133,6.714
Building Simulation,Building Simulation: An International Journal,Springer,Xudong Yang,1996-3599,1996-8744,2.211
Bull Math Biol,Bulletin of Mathematical Biology,Springer,"Alan Hastings, Reinhard Laubenbacher",1522-9602,1522-9602,1.657
Bull World Health Organ,Bulletin of the World Health Organization,World Health Organization,Laragh Gollogly,"	0042-9686",1564-0604,6.818
Bulletin of the World Health Organization,Bulletin of the World Health Organization,World Health Organization,,,,
",Laragh Gollogly,        0042-9686,1564-0604,6.818,FALSE",,,,,,
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,Springer,Sophia Seidel,1436-9990,1437-1588,1.508
Burns Trauma,Burns & Trauma,Oxford University Press,Jun Wu,,2321-3876,2.493
C&EN Global Enterprise,C&EN Global Enterprise,,,,,
Can J Anaesth,The Canadian Journal of Anesthesia,Springer,Hilary Grocott,0832-610X,1496-8975,2.96
Can J Infect Dis Med Microbiol,Canadian Journal of Infectious Diseases and Medical Microbiology,Hindawi,John Conly,"	1712-9532",1918-1493,0.991
Can J Respir Ther,Canadian Journal of Respiratory Therapy,Canadian Science Publishing,Justin Sorge,1205-9838,1205-9838,0.36
Can Respir J,Canadian Journal of Respiratory Therapy,Canadian Science Publishing,Justin Sorge,1205-9838,1205-9838,0.36
Canadian Association of Radiologists Journal,Canadian Association of Radiologists Journal,Elsevier,Michael N. Patlas,0846-5371,1488-2361,1.009
Canadian Journal of Anesthesia/Journal canadien d'anesthésie,Canadian Journal of Anesthesia ,Springer,Hilary Grocott,0832-610X,1496-8975,3.374
Cancer Cell Int,Cancer Cell International,BioMed Central,Domenico Coppola,1475-2867,1475-2867,3.63
Cancer Immunol Immunother,"Cancer Immunology, Immunotherapy",Springer,Haidong Dong,0340-7004,1432-0851,4.9
Cancer Inform,Cancer Informatics,Sage,J.T. Efird,1176-9351,1176-9351,1.18
Cancer Manag Res,Cancer Management and Research,Dove Medical Press,Kenan Onel,1179-1322,1179-1322,3.702
Cancer Med,Cancer Medicine,Wiley,Qingyi Wei,,2045-7634,3.362
Cancer Res Treat,Cancer Research and Treatment Journal,,,1598-2998,1598-2998,3.363
Cancer Sci,Cancer Science Journal,Wiley,Kohei Miyazono,1347-9032,1349-7006,4.751
Cancers (Basel),Cancers (Journal),Wiley-Blackwell,Fadlo R. Khuri,0008-543X,1097-0142,6.072
Cardiol Res,Cardiology Research,Elmer Press,John Somberg,1923-2829,1923-2837,
Cardiovasc Diabetol,Cardiovascular Diabetology ,BioMed Central,"Enrique Fisman, Alexander Tenenbaum",1475-2840,1475-2840,5.948 
Cardiovasc Hematol Agents Med Chem,Cardiovascular & Hematological Agents in Medicinal Chemistry,Bentham Science,Debabrata Mukherjee,1871-5257,1875-6182,0.63
Cardiovascular and interventional radiology,Cardiovascular and Interventional Radiology,Springer,Klaus Hausegger,0174-1551,1432-086X,1.928
Case Rep Crit Care,Case Reports in Critical Care,Hindawi,,2090-6420 ,2090-6439,
Case Rep Infect Dis,Case Reports in Infectious Diseases,Hindawi,,2090-6625,2090-6633,
Case Rep Med,Case Reports in Medicine ,Hindawi,,1687-9627,1687-9635 ,
Case Rep Nephrol Dial,Case Reports in Nephrology and Dialysis,Karger,Ivan Rychlik,,2296-9705,0.53
Case Rep Neurol Med,Case Reports in Neurological Medicine ,Hindawi,,2090-6668,2090-6676,
Case Rep Oncol Med,Case Reports in Oncological Medicine,Hindawi,,2090-6706,2090-6714,
Case Rep Pediatr,Case Reports in Pediatrics,Hindawi,,2090-6803,2090-6811,
Case Rep Pulmonol,Case Reports in Pulmonology,Hindawi,,2090-6846 ,2090-6854,
Case Rep Rheumatol,Case Reports in Rheumatology,Hindawi,,2090-6889 ,2090-6897,
Case Rep Transplant,Case Reports in Transplantation,Hindawi,,2090-6943,2090-6951,
Case Rep Vet Med,Case Reports in Veterinary Medicine,Hindawi,,2090-7001,2090-701X,
Cases J,Cases Journal ,Biomed Central/ Springer,Richard Smith,1757-1626,1757-1626,0.81
CBE Life Sci Educ,CBE: Life Sciences Education,,,1931-7913,1931-7913,
Cell,Cell (Journal),Cell Press,John Pham,0092-8674,1097-4172,36.216
Cell Biochem Biophys,Cell Biochemistry and Biophysics,Springer,Lawrence J. Berliner,1085-9195,1559-0283,1.455
Cell Biochem Funct,Cell Biochemistry and Function,Wiley-Blackwell,Nigel Loveridge,0263-6484,1099-0844,1.854
Cell Biol Int,Cell Biology International,Portland Press,D.N. Wheatley,1065-6995,1095-8355,1.747
Cell Biosci,Cell and Bioscience,Springer,Dr. Yun-Fai Chris Lau,2045-3701,2045-3701,
Cell Chem Biol,Cell Chemical Biology,Cell Press,,2451-9456,2451-9448,6.762
Cell Commun Signal,Cell Communication and Signaling ,BioMed Central ,Raymond Birge,1478-811X,1478-811X,5.324
Cell Cycle,Cell Cycle,Taylor & Francis,Mikhail Blagosklonny,1538-4101,1551-4005,3.304 
Cell Death Dis,Cell Discovery Journal ,Nature Publishing Group,Gang Pei,20565968,20565968,4.483
Cell Death Discov,Cell Discovery Journal ,Nature Publishing Group,Gang Pei,20565968,20565968,4.483
Cell Discov,Cell Discovery Journal ,Nature Publishing Group,Gang Pei,20565968,20565968,4.483
Cell Discovery,Cell Discovery Journal ,Nature Publishing Group,Gang Pei,20565968,20565968,4.483
Cell Host & Microbe,Cell Host & Microbe,Cell Press,"Lakshmi Goyal, Ella Hinson, Amanda Monahan, Caeul Lim",1931-3128,1931-3128,17.872 
Cell Host Microbe,Cell Host & Microbe,Cell Press,"Lakshmi Goyal, Ella Hinson, Amanda Monahan, Caeul Lim",1931-3128,1931-3128,17.872 
Cell J,Cell (Journal),Cell Press,John Pham,0092-8674,1097-4172,36.216
Cell Microbiol,Cellular Microbiology ,Wiley,,‎1462-5822,‎1462-5822,4.288
Cell Mol Biol Lett,Cellular & Molecular Biology Letters,BioMed Central ,Aleksander Sikorski,1689-1392,1689-1392,3.367
Cell Mol Immunol,Cellular & Molecular Immunology,,"Xuetao Cao,Zhigang Tian",1672-7681,2042-0226,7.058
Cell Mol Life Sci,Cellular and Molecular Life Sciences,Springer,Klaus Eichmann,1420-682X,1420-9071,7.014
Cell Regen (Lond),Cell Regeneration,Elsevier,Ying Lou,20459769,20459769,
Cell Rep,Cell Reports ,Cell Press,,2211-1247,2211-1247,7.815
Cell Res,Cell Research,Nature Publishing Group on behalf of the Shanghai Institutes for Biological Sciences,Gang Pei,1001-0602,1748-7838,15.393
Cell Research,Cell Research,Nature Publishing Group on behalf of the Shanghai Institutes for Biological Sciences,Gang Pei,1001-0602,1748-7838,15.393
Cell Tissue Res,,,,,,
Cells,,,,,,
Cellular & Molecular Immunology,,,,,,
Cellular & Molecular Immunology AB  -The novel coronavirus was denoted as 2019-nCoV by WHO (https://www.who.int/emergencies/diseases/novel-coronavirus-2019) and the Wuhan pneumonia was named as novel coronavirus-infected pneumonia (NCIP) by Chinese scient,,,,,,
Cent Asian J Glob Health,,,,,,
Cent Eur J Immunol,,,,,,
Chem Biol,,,,,,
Chem Cent J,,,,,,
Chem Rev,,,,,,
Chem Sci,,,,,,
ChemBioChem,,,,,,
Chemistry,,,,,,
Chemistry & Industry,,,,,,
Chest,,,,,,
Children (Basel),,,,,,
Chin J Integr Med,,,,,,
Chin Med,Chinese Medical Journal,Chinese Medical Association/Wolters Kluwer Medknow,Chen Wang,0366-6999,0366-6999,1.053
Chin Med J (Engl),Chinese Medical Journal,Chinese Medical Association/Wolters Kluwer Medknow,Chen Wang,0366-6999,0366-6999,1.053
Chinese Critical Care Medicine,,,,,,
Chinese Journal of Anesthesiology,,,,,,
Chinese Journal of Applied Clinical Pediatrics,,,,,,
Chinese Journal of Behavioral Medicine and Brain Science,,,,,,
Chinese Journal of Burns,,,,,,
Chinese Journal of Clinical Infectious Diseases,,,,,,
Chinese Journal of Digestion,,,,,,
Chinese Journal of Emergency Medicine,,,,,,
Chinese Journal of Evidence-Based Medicine,,,,,,
Chinese Journal of Experimental and Clinical Virology,,,,,,
Chinese Journal of Experimental Ophthalmology,,,,,,
Chinese Journal of Gastrointestinal Surgery,,,,,,
Chinese Journal of Geriatrics,,,,,,
Chinese Journal of Hepatology,,,,,,
Chinese Journal of Hospital Administration,,,,,,
Chinese Journal of Infectious Diseases,,,,,,
Chinese Journal of Laboratory Medicine,,,,,,
Chinese Journal of Microbiology and Immunology,,,,,,
Chinese Journal of Obstetrics and Gynecology,,,,,,
Chinese Journal of Oncology,,,,,,
Chinese Journal of Organ Transplantation,,,,,,
Chinese Journal of Orthopaedic Trauma,,,,,,
Chinese Journal of Pediatrics,,,,,,
Chinese Journal of Perinatal Medicine,,,,,,
Chinese Journal of Preventive Medicine,,,,,,
Chinese Journal of Radiology,,,,,,
Chinese Journal of Stomatology,,,,,,
Chinese Journal of Surgery,,,,,,
Chinese Journal of Trauma,,,,,,
Chinese Medical Journal,,,,,,
Chinese medical sciences journal = Chung-kuo i hsueh k'o hsueh tsa chih,,,,,,
Chinese Pediatric Emergency Medicine,,,,,,
Chronic Dis Transl Med,,,,,,
Ci Ji Yi Xue Za Zhi,,,,,,
Cilia,,,,,,
Clin Appl Thromb Hemost,,,,,,
Clin Case Rep,,,,,,
Clin Chem,,,,,,
Clin Chem Lab Med,,,,,,
Clin Dev Immunol,,,,,,
Clin Endosc,,,,,,
Clin Epidemiol,,,,,,
Clin Exp Emerg Med,,,,,,
Clin Exp Immunol,,,,,,
Clin Exp Vaccine Res,,,,,,
Clin Infect Dis,,,,,,
Clin Interv Aging,,,,,,
Clin J Gastroenterol,,,,,,
Clin Kidney J,,,,,,
Clin Mol Allergy,,,,,,
Clin Nutr Res,,,,,,
Clin Ophthalmol,,,,,,
Clin Oral Investig,,,,,,
Clin Otolaryngol,,,,,,
Clin Pharmacol Ther,,,,,,
Clin Pract,,,,,,
Clin Pract Cases Emerg Med,,,,,,
Clin Proteomics,,,,,,
Clin Sci (Lond),,,,,,
Clin Transl Allergy,,,,,,
Clin Transl Immunology,,,,,,
Clin Transl Med,,,,,,
Clin Trials,,,,,,
Clin Vaccine Immunol,,,,,,
Clinica Chimica Acta,,,,,,
Clinical & Translational Immunology,,,,,,
Clinical Chemistry,,,,,,
Clinical Imaging,,,,,,
Clinical Infectious Diseases,,,,,,
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,,,,,
"Clinical Infectious Diseases,",,,,,,
"Clinical medicine (London, England)",,,,,,
Clinical Microbiology and Infection,,,,,,
Clinics (Sao Paulo),,,,,,
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,,,,,,
CME,,,,,,
CNS Oncol.; 8(4):CNS45,,,,,,
Cochrane Database Syst Rev,,,,,,
Cold Spring Harb Mol Case Stud,,,,,,
Colomb Med (Cali).; 44(2):121-128,,,,,,
Comb Chem High Throughput Screen,,,,,,
Commun Biol,,,,,,
Commun Dis Intell (2018),,,,,,
Comp Funct Genomics,,,,,,
Complementary Therapies in Clinical Practice,,,,,,
Comput Intell Neurosci,,,,,,
Comput Math Methods Med,,,,,,
Comput Struct Biotechnol J,,,,,,
Computers in Biology and Medicine,,,,,,
Confl Health,,,,,,
Conserv Physiol,,,,,,
Contrast Media Mol Imaging,,,,,,
Cough,,,,,,
Crim Justice Ethics,,,,,,
Crit Care,,,,,,
Crit Care Med,,,,,,
Crit Care Res Pract,,,,,,
Crit Rev Microbiol,,,,,,
Crit Ultrasound J,,,,,,
Critical Care,,,,,,
Croat Med J,,,,,,
Curationis,,,,,,
Cureus.; 10(3):e2387,,,,,,
Cureus.; 11(4):e4577,,,,,,
Cureus.; 7(9):e332,,,,,,
Curr Chem Genomics,,,,,,
Curr Clin Microbiol Rep,,,,,,
Curr Drug Targets,,,,,,
Curr Genomics,,,,,,
Curr HIV Res,,,,,,
Curr Neuropharmacol,,,,,,
Curr Oncol,,,,,,
Curr Opin Chem Biol,,,,,,
Curr Opin HIV AIDS,,,,,,
Curr Opin Infect Dis,,,,,,
Curr Opin Microbiol,,,,,,
Curr Opin Virol,,,,,,
Curr Pharm Des,,,,,,
Curr Protein Pept Sci,,,,,,
Curr Ther Res Clin Exp,,,,,,
Curr Top Med Chem,,,,,,
Curr Treat Options Infect Dis,,,,,,
Current opinion in pulmonary medicine,,,,,,
Current topics in medicinal chemistry,,,,,,
Current Tropical Medicine Reports,,,,,,
Cytokine Growth Factor Rev,,,,,,
Cytometry Part A,,,,,,
Daru,,,,,,
Data Brief,Data in Brief,Elsevier,"Hao-Ran Wang, Ganhui Lan",,2352-3409,0.93
Data in Brief,Data in Brief,Elsevier,"Hao-Ran Wang, Ganhui Lan",,2352-3409,0.93
Database (Oxford),Database: The Journal of Biological Databases and Curation,Oxford University Press,David Landsman,1758-0463,1758-0463,3.978
Deutsche Apotheker Zeitung,Deutsche Apotheker Zeitung,Deutsche Apotheker Verlag,"Armin Edalat, Doris Uhl", 0011-9857,,
Dev Immunol,Developmental & Comparative Immunology,,"K. Söderhäll, M. Belosevic",0145-305X,,3.119
Dev Psychol,Developmental Psychology,American Psychological Association ,Eric F. Dubow,0012-1649,1939-0599,2.934
Dev Reprod,Development & Reproduction,Korean Society of Developmental Biology,Jang-Soo Chun,2465-9541,2465-9525,
Dev World Bioeth,Developing World Bioethics,,"Debora Diniz, Udo Schüklenk",1471-8731,1471-8847,1.41
Diabetes,Diabetes Spectrum,American Diabetes Association,Martin G. Myers Jr.,0012-1797,1939-327X,7.273
Diabetes Spectr,Diabetes Spectrum,,,,,
Diagn Pathol,Diagnostic Pathology,,Dr. Anil Parwani,,1746-1596,2.211
Diagnosis,Diagnosis,De Gruyter,,2194-8011,2194-802X,
Diagnostics (Basel),Diagnostics,Multidisciplinary Digital Publishing Institute,Prof. Dr. Andreas Kjaer,2075-4418,2075-4418,2.489
Dig Dis Sci,Digestive Diseases and Sciences,Springer Science+Business Media,Jonathan Kaunitz,0163-2116,1573-2568,2.937
Dis Markers,Disease Markers,,Paola Gazzaniga,,,2.761
Dis Model Mech,Disease Models & Mechanisms (DMM),The Company of Biologists ,Monica Justice,1754-8403,1754-8411,4.028
Disaster Health,Disaster Health,Taylor and Francis group,James M. Shultz,2166-5044,2166-5052,
Disaster Mil Med,Disaster and Military Medicine,BioMed Central,,2054-314X,2054-314X,
Diseases,Diseases,Multidisciplinary Digital Publishing Institute,Prof. Dr. Maurizio Battino,2079-9721,2079-9721,
DNA Res,DNA Research,Oxford University Press for the Kazusa DNA Research Institute,Michio Oishi,1340-2838,1756-1663,5.404
Drug Deliv Transl Res,Drug Delivery and Translational Research,,Maria Jose Alonso,2190-393X,2190-3948,3.345
Drug Des Devel Ther,"Drug Design, Development and Therapy",Dove Medical Press,Daniel S. Pilch,1177-8881,1177-8881,3.028
Drug Dev Res,Drug Development Research,,David Gurwitz,,1098-2299,1.742
Drug Discoveries & Therapeutics,Drug Discoveries & Therapeutics,,Kazuhisa SEKIMIZU,1881-7831,1881-784X,
Drug Discovery Today,Drug Discovery Today,Elsevier,,1359-6446,1359-6446,6.369
Drug Target Insights,,,,,,
Drug Target Insights,Sage Publishing,,1177-3928,1177-3928,,
Drugs,Drugs,Springer,Dene Peters,,,
",0012-6667,1179-1950",,,,,,
",4.647,FALSE",,,,,,
Drugs Context,Drugs In Context,Bioexcel Publishing Ltd. ,"Gordon Mallarkey, PhD",,1740-4398,1.087
Eastern Mediterranean Health Journal,Eastern Mediterranean Health Journal,World Health Organization,Mahmoud Fikri,1687-1634 ,1687-1634 ,0.663
EBioMedicine,EBioMedicine,Elsevier," Dr. Duc H. Le, Dr. Julie Stacey",,2352-3964,6.68
EClinicalMedicine,EClinicalMedicine,Elsevier,Dr Claudia Schaefer,,2589-5370,
Ecohealth,EcoHealth,Springer,Peter Daszak,1612-9202,1612-9210,2.566
Ecol Evol,Ecology and Evolution,Wiley-Blackwell,"Allen Moore, Andrew Beckerman",,2045-7758,2.34
Ecol Lett,Ecology Letters,Wiley-Blackwell,Tim Coulson,1461-023X,1461-0248,10.689
Ecol Modell,Ecological Modelling,,Dr. Brian D. Fath,,0304-3800,2.852
Economic Outlook,Economic Outlook,Wiley-Blackwell,,0140-489X ,1468-0319,
Einstein (Sao Paulo),Einstein (São Paulo),,,1679-4508,2317-6385,
EJIFCC,The electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine,IFCC Communications and Publications Division,János Kappelmayer,,,
EJNMMI Res,European Journal of Nuclear Medicine and Molecular Imaging,Springer,Angelika Bischof-Delaloye,1619-7070,2191-219X ,2.68
eLife,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e05564,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e09015,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e09186,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 4:e11785,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e11275,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e12469,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e14228,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e16965,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e17636,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e18311,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 5:e18491,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e22069,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e23172,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e25687,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e26738,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e26875,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 6:e30700,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31257,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31662,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e31919,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e37324,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e37663,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e39494,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e40977,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 7:e41426,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e42037,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e43764,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e43983,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e44345,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e45205,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e46681,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47117,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47261,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e47615,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 8:e51230,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
eLife.; 9:e55570,eLife,eLife Sciences Publications,Michael Eisen,2050-0084X,2050-0084X,7.551
EMBO J,The EMBO Journal  ,EMBO press,Bernd Pulverer,"	0261-4189",1460-2075,11.2
EMBO Mol Med,EMBO Molecular Medicine,EMBO Press,Philippe Sansonetti,1757-4676,1757-4684,10.293
EMBO Rep,EMBO Reports,EMBO Press,Howy Jacobs,1469-221X,1469-3178,8.383
Emerg (Tehran),Archives of Academic Emergency Medicine,Shahid Beheshti University of Medical Sciences ,Iraj Najafi,         2645-4904,       2345-4563,
Emerg Health Threats J,Emerging Health Threats Journal,,,,,
Emerg Infect Dis,Emerging Infectious Diseases ,Centers for Disease Control and Prevention,,"	1080-6040",1080-6059,7.422
Emerg Med Int,Internal and Emergency Medicine,Hybrid,Domenico Prisco,,,
",,	2222-1751""",,FALSE,,,,
Emerg Microbes Infect,Emerging microbes and infections,Taylor & Francis,,,,
Emerg Themes Epidemiol,Emerging Themes in Epidemiology, BioMed Central, Peter Smith,,,
Emergency medicine practice,Emergency medicine practice,,,,,
Emerging infectious diseases,Emerging infectious diseases ,,,1080-6059,,
Emerging microbes & infections,Emerging microbes & infections, Taylor & Francis,,,"	2222-1751",
eNeuro,eNeuro,,,,,
Environ Health,Enviormental Health,,Dr. Stephanie L. Richards, 1178-6302, 1178-6302,
Environ Health Insights,Environ Health Insights,,Dr. Stephanie L. Richards, 1178-6302, 1178-6302,
Environ Health Perspect,Environ Health Perspect,National Institute of Environmental Health Sciences,Sally Perreault Darney,0091-6765,1552-9924,
Environ Health Prev Med,Environmental Health and Preventive Medicine,Yoshihiro Kokubo,,1347-4715,,1.672
Environ Int,Environment International,,,0160-4120,,7.943
Environ Sci Pollut Res Int,Environmental Science and Pollution Research,Hybrid,Philippe Garrigues,,,3.208
Environ Sci Technol Lett,,,,,,
Environment and Planning A: Economy and Space,Environment and Planning A: Economy and Space,SAGE Publishing, Bryan W. Brooks,, 2328-8930,6.934
Epidemics,Epidemics,"Dr. Katia Koelle, Professor Steven Riley, Dr. Cecile Viboud",,,,3.456
Epidemiol Health,Epidemiol Health,,,,,
Epidemiol Infect,Epidemiol Infection,Cambridge University Press,,"	0950-2688",1469-4409,2.075
Epidemiol Infect.; 147:e310,Epidemiol Infection,,,,,
Epidemiol Infect.; 148:e22,Epidemiol Infection,,,,,
Epidemiol Infect.; 148:e4,Epidemiology and Infection,Cambridge University Press,Norman Noah,0950-2688,1469-4409,
Epidemiol Perspect Innov,Epidemiologic Perspectives & Innovations,BioMed Central,,,1742-5573,
Epidemiol Rev,Epidemiologic Reviews,Oxford University Press on behalf of the Johns Hopkins Bloomberg School of Public Health,David D. Celentano,0193-936X,1478-6729,10.383
Epidemiology,Epidemiology,,Timothy L. Lash ,1044-3983,1531-5487,
ERJ Open Res,ERJ Open Research,European Respiratory Society,Alyn H. Morice,,2312-0541,
Ethiop J Health Sci,Ethiopian Journal of Health Sciences,College of Health Science of Jimma University,Abraham Haileamlak,1029-1857,2413-7170,
Eur Biophys J,European Biophysics Journal,Springer,Robert Gilbert,0175-7571,1432-1017,1.873 
Eur Clin Respir J,European Clinical Respiratory Journal,Taylor and Francis Group,Leif Bjermer,,2001-8525,
Eur J Case Rep Intern Med,European Journal of Case Reports in Internal Medicine,SMC media Srl,John Kellett,,,
Eur J Clin Microbiol Infect Dis,European Journal of Clinical Microbiology & Infectious Diseases,Springer,Laurent Poirel,"	0934-9723",1435-4373,2.722
Eur J Dent,European Journal of Dentistry,Thieme Medical Publishers,Necdet Adanir,1305-7456,,
